artist,name,url,yt_links,Genre
Mariah Carey,All I Want for Christmas Is You,https://www.last.fm/music/Mariah+Carey/_/All+I+Want+for+Christmas+Is+You,https://www.youtube.com/watch?v=yXQViqx6GMY,pop
Olivia Rodrigo,good 4 u,https://www.last.fm/music/Olivia+Rodrigo/_/good+4+u,https://www.youtube.com/watch?v=gNi_6U5Pm_o,pop
Doja Cat,Kiss Me More (feat. SZA),https://www.last.fm/music/Doja+Cat/_/Kiss+Me+More+(feat.+SZA),https://www.youtube.com/watch?v=0EVVKs6DQLo,pop
Wham!,Last Christmas,https://www.last.fm/music/Wham%21/_/Last+Christmas,https://www.youtube.com/watch?v=E8gmARGvPlI,pop
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),https://www.last.fm/music/Lil+Nas+X/_/INDUSTRY+BABY+(feat.+Jack+Harlow),https://www.youtube.com/watch?v=UTHLKHL_whs,pop
Doja Cat,Woman,https://www.last.fm/music/Doja+Cat/_/Woman,https://www.youtube.com/watch?v=yxW5yuzVi8w,pop
Brenda Lee,Rockin' Around The Christmas Tree,https://www.last.fm/music/Brenda+Lee/_/Rockin%27+Around+The+Christmas+Tree,https://www.youtube.com/watch?v=DSHGd4lmLd4,vocalists
Doja Cat,Need To Know,https://www.last.fm/music/Doja+Cat/_/Need+To+Know,https://www.youtube.com/watch?v=dI3xkL7qUAc,pop
Bobby Helms,Jingle Bell Rock,https://www.last.fm/music/Bobby+Helms/_/Jingle+Bell+Rock,https://www.youtube.com/watch?v=ZnDmmiiFSUU,christmas
Ariana Grande,Santa Tell Me,https://www.last.fm/music/Ariana+Grande/_/Santa+Tell+Me,https://www.youtube.com/watch?v=nlR0MkrRklg,pop
Lil Nas X,Montero (Call Me By Your Name),https://www.last.fm/music/Lil+Nas+X/_/Montero+(Call+Me+By+Your+Name),https://www.youtube.com/watch?v=6swmTBVI83k,pop
The Kid LAROI,Stay (with Justin Bieber),https://www.last.fm/music/The+Kid+LAROI/_/Stay+(with+Justin+Bieber),https://www.youtube.com/watch?v=kTJczUoc26U,pop
Adele,Easy On ME,https://www.last.fm/music/Adele/_/Easy+On+ME,https://www.youtube.com/watch?v=U3ASj1L6_sY,pop
Billie Eilish,Happier Than Ever,https://www.last.fm/music/Billie+Eilish/_/Happier+Than+Ever,https://www.youtube.com/watch?v=5GJWxDKyk3A,pop
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),https://www.last.fm/music/Taylor+Swift/_/All+Too+Well+(10+Minute+Version)+(Taylor%27s+Version)+(From+The+Vault),https://www.youtube.com/watch?v=tollGa3S0o8,pop
Andy Williams,It's the Most Wonderful Time of the Year,https://www.last.fm/music/Andy+Williams/_/It%27s+the+Most+Wonderful+Time+of+the+Year,https://www.youtube.com/watch?v=73UqDX_quk0,pop
Michael Bublé,It's Beginning to Look a Lot Like Christmas,https://www.last.fm/music/Michael+Bubl%C3%A9/_/It%27s+Beginning+to+Look+a+Lot+Like+Christmas,https://www.youtube.com/watch?v=0bhsXykXxfg,christmas
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,https://www.youtube.com/watch?v=4NRXx6U8ABQ,pop
Glass Animals,Heat Waves,https://www.last.fm/music/Glass+Animals/_/Heat+Waves,https://www.youtube.com/watch?v=mRD0-GxqHVo,indie
Olivia Rodrigo,drivers license,https://www.last.fm/music/Olivia+Rodrigo/_/drivers+license,https://www.youtube.com/watch?v=ZmDBbnmKpqQ,pop
SZA,i hate u,https://www.last.fm/music/SZA/_/i+hate+u,https://www.youtube.com/watch?v=5mF_yKVRffI,alternative
Olivia Rodrigo,deja vu,https://www.last.fm/music/Olivia+Rodrigo/_/deja+vu,https://www.youtube.com/watch?v=cii6ruuycQA,pop
José Feliciano,Feliz Navidad,https://www.last.fm/music/Jos%C3%A9+Feliciano/_/Feliz+Navidad,https://www.youtube.com/watch?v=jj-oTtHTwVY,christmas
Bruno Mars,Smokin Out The Window,https://www.last.fm/music/Bruno+Mars/_/Smokin+Out+The+Window,https://www.youtube.com/watch?v=GG7fLOmlhYg,pop
Doja Cat,Get Into It (Yuh),https://www.last.fm/music/Doja+Cat/_/Get+Into+It+(Yuh),https://www.youtube.com/watch?v=zln8SZO6yYY,pop
Olivia Rodrigo,traitor,https://www.last.fm/music/Olivia+Rodrigo/_/traitor,https://www.youtube.com/watch?v=CRrf3h9vhp8,pop
The Neighbourhood,Sweater Weather,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,https://www.youtube.com/watch?v=GCdwKhTtNNw,pop
The Ronettes,Sleigh Ride,https://www.last.fm/music/The+Ronettes/_/Sleigh+Ride,https://www.youtube.com/watch?v=nGCmK6SLa0Q,pop
Bruno Mars,Leave The Door Open,https://www.last.fm/music/Bruno+Mars/_/Leave+The+Door+Open,https://www.youtube.com/watch?v=adLGHcj_fmA,pop
Tame Impala,The Less I Know the Better,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,https://www.youtube.com/watch?v=sBzrzS1Ag_g,pop
Gayle,abcdefu,https://www.last.fm/music/Gayle/_/abcdefu,https://www.youtube.com/watch?v=NaFd8ucHLuo,pop
Steve Lacy,Dark Red,https://www.last.fm/music/Steve+Lacy/_/Dark+Red,https://www.youtube.com/watch?v=xRzbLQ_WKPs,alternative
Olivia Rodrigo,brutal,https://www.last.fm/music/Olivia+Rodrigo/_/brutal,https://www.youtube.com/watch?v=OGUy2UmRxJ0,pop
