artist,name,url,yt_links,Genre0,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7
Mariah Carey,All I Want for Christmas Is You,https://www.last.fm/music/Mariah+Carey/_/All+I+Want+for+Christmas+Is+You,https://www.youtube.com/watch?v=yXQViqx6GMY,christmas,pop,xmas,mariah carey,pop,rnb,female vocalists,
Olivia Rodrigo,good 4 u,https://www.last.fm/music/Olivia+Rodrigo/_/good+4+u,https://www.youtube.com/watch?v=gNi_6U5Pm_o,pop rock,rock,pop punk,sour,pop,pop rock,indie pop,
Doja Cat,Kiss Me More (feat. SZA),https://www.last.fm/music/Doja+Cat/_/Kiss+Me+More+(feat.+SZA),https://www.youtube.com/watch?v=0EVVKs6DQLo,planet her,pop,rnb,pop rap,2021,pop,rnb,rap
Wham!,Last Christmas,https://www.last.fm/music/Wham%21/_/Last+Christmas,https://www.youtube.com/watch?v=E8gmARGvPlI,christmas,80s,pop,xmas,pop,80s,british,
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),https://www.last.fm/music/Lil+Nas+X/_/INDUSTRY+BABY+(feat.+Jack+Harlow),https://www.youtube.com/watch?v=UTHLKHL_whs,rap,hip-hop,trap,pop rap,2021,hip-hop,rap,country rap
Doja Cat,Woman,https://www.last.fm/music/Doja+Cat/_/Woman,https://www.youtube.com/watch?v=yxW5yuzVi8w,rnb,afrobeat,rap,reggae,pop,rnb,rap,
Brenda Lee,Rockin' Around The Christmas Tree,https://www.last.fm/music/Brenda+Lee/_/Rockin%27+Around+The+Christmas+Tree,https://www.youtube.com/watch?v=DSHGd4lmLd4,christmas,xmas,50s,oldies,60s,female vocalists,,
Doja Cat,Need To Know,https://www.last.fm/music/Doja+Cat/_/Need+To+Know,https://www.youtube.com/watch?v=dI3xkL7qUAc,trap,pop rap,rap,cloud rap,pop,rnb,rap,
Bobby Helms,Jingle Bell Rock,https://www.last.fm/music/Bobby+Helms/_/Jingle+Bell+Rock,https://www.youtube.com/watch?v=ZnDmmiiFSUU,christmas,xmas,country,christmas,rockabilly,,,
Ariana Grande,Santa Tell Me,https://www.last.fm/music/Ariana+Grande/_/Santa+Tell+Me,https://www.youtube.com/watch?v=nlR0MkrRklg,christmas,pop,love at first listen,pop,rnb,female vocalists,,
Lil Nas X,Montero (Call Me By Your Name),https://www.last.fm/music/Lil+Nas+X/_/Montero+(Call+Me+By+Your+Name),https://www.youtube.com/watch?v=6swmTBVI83k,pop rap,rnb,2021,latin pop,hip-hop,rap,country rap,
The Kid LAROI,Stay (with Justin Bieber),https://www.last.fm/music/The+Kid+LAROI/_/Stay+(with+Justin+Bieber),https://www.youtube.com/watch?v=kTJczUoc26U,pop rap,justin bieber,the kid laroi,2021,2020s,emo rap,rap,hip-hop
Adele,Easy On ME,https://www.last.fm/music/Adele/_/Easy+On+ME,https://www.youtube.com/watch?v=U3ASj1L6_sY,2021,pop,soul,adele,2020s,soul,female vocalists,british
Billie Eilish,Happier Than Ever,https://www.last.fm/music/Billie+Eilish/_/Happier+Than+Ever,https://www.youtube.com/watch?v=5GJWxDKyk3A,noise pop,rock,future nostalgia,singer-songwriter,pop,indie pop,electropop,
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),https://www.last.fm/music/Taylor+Swift/_/All+Too+Well+(10+Minute+Version)+(Taylor%27s+Version)+(From+The+Vault),https://www.youtube.com/watch?v=tollGa3S0o8,pop,indie pop,country rock,masterpiece,taylor swift,pop,country,female vocalists
Andy Williams,It's the Most Wonderful Time of the Year,https://www.last.fm/music/Andy+Williams/_/It%27s+the+Most+Wonderful+Time+of+the+Year,https://www.youtube.com/watch?v=73UqDX_quk0,christmas,christmas music,oldies,60s,pop,,,
Michael Bublé,It's Beginning to Look a Lot Like Christmas,https://www.last.fm/music/Michael+Bubl%C3%A9/_/It%27s+Beginning+to+Look+a+Lot+Like+Christmas,https://www.youtube.com/watch?v=0bhsXykXxfg,christmas,jazz,swing,christmas,,,,
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,https://www.youtube.com/watch?v=4NRXx6U8ABQ,synthwave,synthpop,pop,2019,rnb,electronic,canadian,
Glass Animals,Heat Waves,https://www.last.fm/music/Glass+Animals/_/Heat+Waves,https://www.youtube.com/watch?v=mRD0-GxqHVo,indie,electronic,british,electronic,trip-hop,indie,,
Olivia Rodrigo,drivers license,https://www.last.fm/music/Olivia+Rodrigo/_/drivers+license,https://www.youtube.com/watch?v=ZmDBbnmKpqQ,pop,sour,2021,sad,pop,pop rock,indie pop,
SZA,i hate u,https://www.last.fm/music/SZA/_/i+hate+u,https://www.youtube.com/watch?v=5mF_yKVRffI,love at first listen,rnb,alternative rnb,rnb,soul,alternative rnb,,
Olivia Rodrigo,deja vu,https://www.last.fm/music/Olivia+Rodrigo/_/deja+vu,https://www.youtube.com/watch?v=cii6ruuycQA,pop,sour,pop rock,mellow,pop,pop rock,indie pop,
José Feliciano,Feliz Navidad,https://www.last.fm/music/Jos%C3%A9+Feliciano/_/Feliz+Navidad,https://www.youtube.com/watch?v=jj-oTtHTwVY,christmas,xmas,latin,folk,singer-songwriter,,,
Bruno Mars,Smokin Out The Window,https://www.last.fm/music/Bruno+Mars/_/Smokin+Out+The+Window,https://www.youtube.com/watch?v=GG7fLOmlhYg,rnb,funk,smooth soul,philly soul,anderson paak,pop,rnb,male vocalists
Doja Cat,Get Into It (Yuh),https://www.last.fm/music/Doja+Cat/_/Get+Into+It+(Yuh),https://www.youtube.com/watch?v=zln8SZO6yYY,trap,rap,rnb,hip-hop,pop,rnb,rap,
Olivia Rodrigo,traitor,https://www.last.fm/music/Olivia+Rodrigo/_/traitor,https://www.youtube.com/watch?v=CRrf3h9vhp8,ballad,sad,desolation,pop,pop rock,indie pop,,
The Neighbourhood,Sweater Weather,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,https://www.youtube.com/watch?v=GCdwKhTtNNw,indie,alternative,chill,summer,indie,indie rock,indie pop,
The Ronettes,Sleigh Ride,https://www.last.fm/music/The+Ronettes/_/Sleigh+Ride,https://www.youtube.com/watch?v=nGCmK6SLa0Q,christmas,60s,xmas,oldies,60s,pop,soul,
Bruno Mars,Leave The Door Open,https://www.last.fm/music/Bruno+Mars/_/Leave+The+Door+Open,https://www.youtube.com/watch?v=adLGHcj_fmA,smooth soul,soul,rnb,pop soul,pop,rnb,male vocalists,
Tame Impala,The Less I Know the Better,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,https://www.youtube.com/watch?v=sBzrzS1Ag_g,psychedelic,indie,alternative,psychedelic pop,psychedelic rock,psychedelic,indie rock,
Gayle,abcdefu,https://www.last.fm/music/Gayle/_/abcdefu,https://www.youtube.com/watch?v=NaFd8ucHLuo,pop rock,power pop,pop punk,pop,pop,usa,american,
Steve Lacy,Dark Red,https://www.last.fm/music/Steve+Lacy/_/Dark+Red,https://www.youtube.com/watch?v=xRzbLQ_WKPs,funk,alternative,rnb,jazz fusion,free jazz,jazz,saxophone,
Olivia Rodrigo,brutal,https://www.last.fm/music/Olivia+Rodrigo/_/brutal,https://www.youtube.com/watch?v=OGUy2UmRxJ0,rock,pop rock,alternative,pop punk,pop,pop rock,indie pop,
"Tyler, the Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"https://www.last.fm/music/Tyler,+the+Creator/_/WUSYANAME+(feat.+Youngboy+Never+Broke+Again+&+Ty+Dolla+$ign)",https://www.youtube.com/watch?v=EQ3DBh8N3s8,rnb,neo-soul,g-funk,pop rap,smooth soul,hip-hop,rap,ofwgkta
Doja Cat,You Right,https://www.last.fm/music/Doja+Cat/_/You+Right,https://www.youtube.com/watch?v=JXgV1rXUoME,rnb,rap,trap,pop,rnb,rap,,
Playboi Carti,Sky,https://www.last.fm/music/Playboi+Carti/_/Sky,https://www.youtube.com/watch?v=KnumAWWWgUE,trap,pop,southern hip hop,experimental hip-hop,trap,hip-hop,cloud rap,
Baby Keem,Family Ties (with Kendrick Lamar),https://www.last.fm/music/Baby+Keem/_/Family+Ties+(with+Kendrick+Lamar),https://www.youtube.com/watch?v=v6HBZC9pZHQ,trap,rap,hip-hop,masterpiece,rap,hip-hop,trap,
Kanye West,Off the Grid,https://www.last.fm/music/Kanye+West/_/Off+the+Grid,https://www.youtube.com/watch?v=EbDMNjT-QpI,drill,hip hop,trap,rap,hip-hop,rap,hip hop,
Kelly Clarkson,Underneath the Tree,https://www.last.fm/music/Kelly+Clarkson/_/Underneath+the+Tree,https://www.youtube.com/watch?v=EM2Fnp_qnE8,christmas,pop,holiday,pop,female vocalists,pop rock,,
"Tyler, the Creator",See You Again (feat. Kali Uchis),"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)",https://www.youtube.com/watch?v=TGgcC5xg9YI,rap,pop,rnb,alternative hip hop,feature,hip-hop,rap,ofwgkta
Kanye West,Hurricane,https://www.last.fm/music/Kanye+West/_/Hurricane,https://www.youtube.com/watch?v=bPjZmQAvk_8,hip-hop,the weeknd,rnb,kanye west,trap,hip-hop,rap,hip hop
Frank Ocean,Pink + White,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,https://www.youtube.com/watch?v=uzS3WG6__G4,rnb,soul,frank ocean,beyonce,rnb,soul,hip-hop,
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),https://www.last.fm/music/Frank+Sinatra/_/Let+It+Snow%21+Let+It+Snow%21+Let+It+Snow%21+(with+The+B.+Swanson+Quartet),https://www.youtube.com/watch?v=cHzeTKPlbJg,christmas,jazz,swing,christmas,,,,
"Tyler, the Creator",Earfquake,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake",https://www.youtube.com/watch?v=HmAsUQEFYGI,neo-soul,alternative rnb,rap,alternative,tyler the creator,hip-hop,rap,ofwgkta
Olivia Rodrigo,"jealousy, jealousy","https://www.last.fm/music/Olivia+Rodrigo/_/jealousy,+jealousy",https://www.youtube.com/watch?v=EWXIOlmms84,indie rock,rock,indie,lana del rey,pop,pop rock,indie pop,
Arctic Monkeys,505,https://www.last.fm/music/Arctic+Monkeys/_/505,https://www.youtube.com/watch?v=qU9mHegkTc4,indie rock,indie,british,rock,alternative,indie rock,indie,british
Justin Bieber,Mistletoe,https://www.last.fm/music/Justin+Bieber/_/Mistletoe,https://www.youtube.com/watch?v=LUjn3RpkcKY,christmas,pop,love,2011,pop,rnb,justin bieber,
Kanye West,Praise God,https://www.last.fm/music/Kanye+West/_/Praise+God,https://www.youtube.com/watch?v=9sJZOGxRxwM,trap,christian hip hop,hip-hop,baby keem,hip-hop,rap,hip hop,
Sia,Snowman,https://www.last.fm/music/Sia/_/Snowman,https://www.youtube.com/watch?v=gset79KMmt0,christmas,christmas songs,female vocalists,indie,chillout,,,
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,https://www.last.fm/music/Dean+Martin/_/Let+It+Snow%21+Let+It+Snow%21+Let+It+Snow%21,https://www.youtube.com/watch?v=Rnil5LyK_B0,christmas,oldies,xmas,christmas music,jazz,swing,christmas,
Mariah Carey,All I Want for Christmas Is You,https://www.last.fm/music/Mariah+Carey/_/All+I+Want+for+Christmas+Is+You,https://www.youtube.com/watch?v=yXQViqx6GMY,christmas,pop,xmas,mariah carey,pop,rnb,female vocalists,
Olivia Rodrigo,good 4 u,https://www.last.fm/music/Olivia+Rodrigo/_/good+4+u,https://www.youtube.com/watch?v=gNi_6U5Pm_o,pop rock,rock,pop punk,sour,pop,pop rock,indie pop,
Doja Cat,Kiss Me More (feat. SZA),https://www.last.fm/music/Doja+Cat/_/Kiss+Me+More+(feat.+SZA),https://www.youtube.com/watch?v=0EVVKs6DQLo,planet her,pop,rnb,pop rap,2021,pop,rnb,rap
Wham!,Last Christmas,https://www.last.fm/music/Wham%21/_/Last+Christmas,https://www.youtube.com/watch?v=E8gmARGvPlI,christmas,80s,pop,xmas,pop,80s,british,
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),https://www.last.fm/music/Lil+Nas+X/_/INDUSTRY+BABY+(feat.+Jack+Harlow),https://www.youtube.com/watch?v=UTHLKHL_whs,rap,hip-hop,trap,pop rap,2021,hip-hop,rap,country rap
Doja Cat,Woman,https://www.last.fm/music/Doja+Cat/_/Woman,https://www.youtube.com/watch?v=yxW5yuzVi8w,rnb,afrobeat,rap,reggae,pop,rnb,rap,
Brenda Lee,Rockin' Around The Christmas Tree,https://www.last.fm/music/Brenda+Lee/_/Rockin%27+Around+The+Christmas+Tree,https://www.youtube.com/watch?v=DSHGd4lmLd4,christmas,xmas,50s,oldies,60s,female vocalists,,
Doja Cat,Need To Know,https://www.last.fm/music/Doja+Cat/_/Need+To+Know,https://www.youtube.com/watch?v=dI3xkL7qUAc,trap,pop rap,rap,cloud rap,pop,rnb,rap,
Bobby Helms,Jingle Bell Rock,https://www.last.fm/music/Bobby+Helms/_/Jingle+Bell+Rock,https://www.youtube.com/watch?v=ZnDmmiiFSUU,christmas,xmas,country,christmas,rockabilly,,,
Ariana Grande,Santa Tell Me,https://www.last.fm/music/Ariana+Grande/_/Santa+Tell+Me,https://www.youtube.com/watch?v=nlR0MkrRklg,christmas,pop,love at first listen,pop,rnb,female vocalists,,
The Kid LAROI,Stay (with Justin Bieber),https://www.last.fm/music/The+Kid+LAROI/_/Stay+(with+Justin+Bieber),https://www.youtube.com/watch?v=6swmTBVI83k,pop rap,rnb,2021,latin pop,hip-hop,rap,country rap,
Lil Nas X,Montero (Call Me By Your Name),https://www.last.fm/music/Lil+Nas+X/_/Montero+(Call+Me+By+Your+Name),https://www.youtube.com/watch?v=U3ASj1L6_sY,2021,pop,soul,adele,2020s,soul,female vocalists,british
Adele,Easy On ME,https://www.last.fm/music/Adele/_/Easy+On+ME,https://www.youtube.com/watch?v=kTJczUoc26U,pop rap,justin bieber,the kid laroi,2021,2020s,emo rap,rap,hip-hop
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),https://www.last.fm/music/Taylor+Swift/_/All+Too+Well+(10+Minute+Version)+(Taylor%27s+Version)+(From+The+Vault),https://www.youtube.com/watch?v=5GJWxDKyk3A,noise pop,rock,future nostalgia,singer-songwriter,pop,indie pop,electropop,
Billie Eilish,Happier Than Ever,https://www.last.fm/music/Billie+Eilish/_/Happier+Than+Ever,https://www.youtube.com/watch?v=tollGa3S0o8,pop,indie pop,country rock,masterpiece,taylor swift,pop,country,female vocalists
Andy Williams,It's the Most Wonderful Time of the Year,https://www.last.fm/music/Andy+Williams/_/It%27s+the+Most+Wonderful+Time+of+the+Year,https://www.youtube.com/watch?v=73UqDX_quk0,christmas,christmas music,oldies,60s,pop,,,
The Weeknd,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,https://www.youtube.com/watch?v=0bhsXykXxfg,christmas,jazz,swing,christmas,,,,
Michael Bublé,It's Beginning to Look a Lot Like Christmas,https://www.last.fm/music/Michael+Bubl%C3%A9/_/It%27s+Beginning+to+Look+a+Lot+Like+Christmas,https://www.youtube.com/watch?v=4NRXx6U8ABQ,synthwave,synthpop,pop,2019,rnb,electronic,canadian,
Glass Animals,Heat Waves,https://www.last.fm/music/Glass+Animals/_/Heat+Waves,https://www.youtube.com/watch?v=mRD0-GxqHVo,indie,electronic,british,electronic,trip-hop,indie,,
SZA,i hate u,https://www.last.fm/music/SZA/_/i+hate+u,https://www.youtube.com/watch?v=ZmDBbnmKpqQ,pop,sour,2021,sad,pop,pop rock,indie pop,
Olivia Rodrigo,drivers license,https://www.last.fm/music/Olivia+Rodrigo/_/drivers+license,https://www.youtube.com/watch?v=5mF_yKVRffI,love at first listen,rnb,alternative rnb,rnb,soul,alternative rnb,,
Olivia Rodrigo,deja vu,https://www.last.fm/music/Olivia+Rodrigo/_/deja+vu,https://www.youtube.com/watch?v=cii6ruuycQA,pop,sour,pop rock,mellow,pop,pop rock,indie pop,
José Feliciano,Feliz Navidad,https://www.last.fm/music/Jos%C3%A9+Feliciano/_/Feliz+Navidad,https://www.youtube.com/watch?v=jj-oTtHTwVY,christmas,xmas,latin,folk,singer-songwriter,,,
Bruno Mars,Smokin Out The Window,https://www.last.fm/music/Bruno+Mars/_/Smokin+Out+The+Window,https://www.youtube.com/watch?v=GG7fLOmlhYg,rnb,funk,smooth soul,philly soul,anderson paak,pop,rnb,male vocalists
Doja Cat,Get Into It (Yuh),https://www.last.fm/music/Doja+Cat/_/Get+Into+It+(Yuh),https://www.youtube.com/watch?v=zln8SZO6yYY,trap,rap,rnb,hip-hop,pop,rnb,rap,
The Neighbourhood,Sweater Weather,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,https://www.youtube.com/watch?v=CRrf3h9vhp8,ballad,sad,desolation,pop,pop rock,indie pop,,
Olivia Rodrigo,traitor,https://www.last.fm/music/Olivia+Rodrigo/_/traitor,https://www.youtube.com/watch?v=GCdwKhTtNNw,indie,alternative,chill,summer,indie,indie rock,indie pop,
